"P1";"P2";"P3";"P4";"P5";"time"
0,671391136399717;0,187707730365155;0,632939779897115;0,309104160197997;0,159100602401251;2017-03-07 16:20:00
0,678747957762494;0,183959943449246;0,596689419027687;0,301437472888058;0,163103229129441;2017-03-07 16:40:00
0,677284813760582;0,181643188210474;0,591935259830769;0,314280328357919;0,152005685415758;2017-03-07 17:00:00
0,671183695364989;0,189567220785785;0,56482480004298;0,332034434868377;0,147966245007862;2017-03-07 17:20:00
0,673403597970718;0,200843002333253;0,525344589983893;0,337980284114732;0,152434675674856;2017-03-07 17:40:00
0,677423221985549;0,213842526227704;0,507175315980099;0,375196191326287;0,157952356234853;2017-03-07 18:00:00
0,676505231054224;0,217286363345442;0,459268023804316;0,397276868091687;0,145413628153495;2017-03-07 18:20:00
0,679037603179506;0,240362111046239;0,439710242315585;0,430681335847151;0,147615330421143;2017-03-07 18:40:00
0,68872459319473;0,249008506553767;0,389319239370203;0,463361510003968;0,155419866731331;2017-03-07 19:00:00
0,680017479175217;0,27175648619998;0,361921577010709;0,490264456662275;0,152897806308937;2017-03-07 19:20:00
0,699530885135062;0,288721453776146;0,342317395826517;0,537943717824619;0,161433717138282;2017-03-07 19:40:00
0,702290040051824;0,301727149010357;0,333083928491446;0,56746628267941;0,165150597892472;2017-03-07 20:00:00
0,712640564451469;0,317288643931679;0,313144568060975;0,589193715344173;0,16425618088213;2017-03-07 20:20:00
0,715217826785326;0,345038712706304;0,316418188336793;0,619476881583067;0,169271695249984;2017-03-07 20:40:00
0,705435051627601;0,354351626470998;0,31283718333819;0,623489620645418;0,174605591222243;2017-03-07 21:00:00
0,718158140102869;0,364097799234689;0,305142316218129;0,654134649768646;0,172290181176562;2017-03-07 21:20:00
0,724038272405282;0,374519887824163;0,298096477501488;0,653609093480786;0,165506871424857;2017-03-07 21:40:00
0,705877880984673;0,358419624865397;0,295563060313383;0,675966556682815;0,170215228878079;2017-03-07 22:00:00
0,707171721120542;0,39146967733119;0,291538565130075;0,678188031943613;0,168210462097743;2017-03-07 22:20:00
0,716534970582069;0,379035021307536;0,283805940429015;0,695978391836951;0,162758564258278;2017-03-07 22:40:00
0,71178349316065;0,390906669255893;0,275113260512967;0,702439409227918;0,161906997886817;2017-03-07 23:00:00
0,708805795922773;0,394095654851956;0,271637605823848;0,710249536054018;0,16061891981334;2017-03-07 23:20:00
0,700162971055698;0,402712739408874;0,272761156263399;0,716197380595337;0,166699761362301;2017-03-07 23:40:00
0,691766477248673;0,428291710909331;0,269585245077123;0,708087762875073;0,165697267352427;2017-03-08 00:00:00
0,694278635328169;0,441084632033445;0,25973096869201;0,721513755933473;0,168072699316618;2017-03-08 00:20:00
0,685509036089104;0,457402578756569;0,259449618826255;0,711542124093667;0,170013182222435;2017-03-08 00:40:00
