"P1";"time"
0,437402200903382;2017-03-09 03:40:00
0,440479476878261;2017-03-09 04:00:00
0,441741674983115;2017-03-09 04:20:00
0,44522705699333;2017-03-09 04:40:00
0,441956504662941;2017-03-09 05:00:00
0,443446113107381;2017-03-09 05:20:00
0,442321204646346;2017-03-09 05:40:00
0,44310513422501;2017-03-09 06:00:00
0,442605208119222;2017-03-09 06:20:00
0,440597929857769;2017-03-09 06:40:00
0,43154605144836;2017-03-09 07:00:00
0,42313109598827;2017-03-09 07:20:00
0,414964188527338;2017-03-09 07:40:00
0,407231033354256;2017-03-09 08:00:00
0,3908023080521;2017-03-09 08:20:00
0,375775029765173;2017-03-09 08:40:00
0,379382438179779;2017-03-09 09:00:00
0,387615711095605;2017-03-09 09:20:00
0,403470839612718;2017-03-09 09:40:00
0,405517162232779;2017-03-09 10:00:00
0,413198924060339;2017-03-09 10:20:00
0,41018529016351;2017-03-09 10:40:00
0,406956121821689;2017-03-09 11:00:00
0,410162783861464;2017-03-09 11:20:00
0,408810209683592;2017-03-09 11:40:00
0,403658944928832;2017-03-09 12:00:00
0,400901185468606;2017-03-09 12:20:00
0,405113346860201;2017-03-09 12:40:00
0,400714895644855;2017-03-09 13:00:00
0,402216530908876;2017-03-09 13:20:00
0,404677545793087;2017-03-09 13:40:00
0,406932056444749;2017-03-09 14:00:00
0,407667060503946;2017-03-09 14:20:00
0,406791722857816;2017-03-09 14:40:00
0,406996888705804;2017-03-09 15:00:00
0,40501423973235;2017-03-09 15:20:00
0,407647593214793;2017-03-09 15:40:00
0,408763239860086;2017-03-09 16:00:00
0,406393297821364;2017-03-09 16:20:00
0,404113834782876;2017-03-09 16:40:00
0,396628608756863;2017-03-09 17:00:00
0,39276126032143;2017-03-09 17:20:00
0,386782916973634;2017-03-09 17:40:00
0,380298318510293;2017-03-09 18:00:00
0,37551947274164;2017-03-09 18:20:00
0,374894648033619;2017-03-09 18:40:00
0,374854257422311;2017-03-09 19:00:00
0,379612447015729;2017-03-09 19:20:00
0,38246354519241;2017-03-09 19:40:00
0,389498514539802;2017-03-09 20:00:00
0,40236745530806;2017-03-09 20:20:00
0,406263409141616;2017-03-09 20:40:00
0,413485725406017;2017-03-09 21:00:00
0,418716715696622;2017-03-09 21:20:00
0,412917576876269;2017-03-09 21:40:00
0,415010612613754;2017-03-09 22:00:00
0,415664664760401;2017-03-09 22:20:00
0,413564745479418;2017-03-09 22:40:00
0,415374745108641;2017-03-09 23:00:00
0,418881875504487;2017-03-09 23:20:00
0,415316621766208;2017-03-09 23:40:00
0,422626693641258;2017-03-10 00:00:00
0,425435351243921;2017-03-10 00:20:00
0,426309349400852;2017-03-10 00:40:00
0,429273038737905;2017-03-10 01:00:00
0,428805581171172;2017-03-10 01:20:00
0,432834044844152;2017-03-10 01:40:00
0,43398223259046;2017-03-10 02:00:00
0,433001740811349;2017-03-10 02:20:00
0,434242043621022;2017-03-10 02:40:00
0,424875833184903;2017-03-10 03:00:00
0,425837210452292;2017-03-10 03:20:00
0,435912486670324;2017-03-10 03:40:00
0,436741791950398;2017-03-10 04:00:00
0,437544959698849;2017-03-10 04:20:00
0,43831413968421;2017-03-10 04:40:00
0,438197426435772;2017-03-10 05:00:00
0,437114663750461;2017-03-10 05:20:00
0,435796224689373;2017-03-10 05:40:00
0,436995751330364;2017-03-10 06:00:00
0,434993129406397;2017-03-10 06:20:00
0,433042196027605;2017-03-10 06:40:00
0,423405742898735;2017-03-10 07:00:00
0,417265707613594;2017-03-10 07:20:00
0,409867195795364;2017-03-10 07:40:00
0,400069850500066;2017-03-10 08:00:00
0,381246085919226;2017-03-10 08:20:00
0,361375893728363;2017-03-10 08:40:00
0,368121951610822;2017-03-10 09:00:00
0,382059074980538;2017-03-10 09:20:00
0,395024406097751;2017-03-10 09:40:00
0,398197235236875;2017-03-10 10:00:00
0,405615878896981;2017-03-10 10:20:00
0,407192364306749;2017-03-10 10:40:00
0,404235491607225;2017-03-10 11:00:00
0,402213085248702;2017-03-10 11:20:00
0,403778707719216;2017-03-10 11:40:00
0,40177115591163;2017-03-10 12:00:00
0,398825054667885;2017-03-10 12:20:00
0,393384111254294;2017-03-10 12:40:00
0,397581255504985;2017-03-10 13:00:00
0,401674102718908;2017-03-10 13:20:00
0,395981108583561;2017-03-10 13:40:00
0,402130242973315;2017-03-10 14:00:00
0,405254692852795;2017-03-10 14:20:00
0,404492828229256;2017-03-10 14:40:00
0,40540313377692;2017-03-10 15:00:00
0,399889930251248;2017-03-10 15:20:00
0,407287236742816;2017-03-10 15:40:00
0,399153194911298;2017-03-10 16:00:00
0,397467520710661;2017-03-10 16:20:00
0,393603873624299;2017-03-10 16:40:00
0,392386719496458;2017-03-10 17:00:00
0,385384519315718;2017-03-10 17:20:00
0,382181053789557;2017-03-10 17:40:00
0,377548868728168;2017-03-10 18:00:00
0,375866932415615;2017-03-10 18:20:00
0,374992844603698;2017-03-10 18:40:00
0,370595335251885;2017-03-10 19:00:00
0,377363931553427;2017-03-10 19:20:00
0,387631749645788;2017-03-10 19:40:00
0,394910348605306;2017-03-10 20:00:00
0,400046008291532;2017-03-10 20:20:00
0,408174493456229;2017-03-10 20:40:00
0,417058539003351;2017-03-10 21:00:00
0,420152728688039;2017-03-10 21:20:00
0,420928006439222;2017-03-10 21:40:00
0,422770017996531;2017-03-10 22:00:00
0,417959496717362;2017-03-10 22:20:00
0,425825780482444;2017-03-10 22:40:00
0,418281825891145;2017-03-10 23:00:00
0,419627026435558;2017-03-10 23:20:00
0,424082021799751;2017-03-10 23:40:00
0,42635354963106;2017-03-11 00:00:00
0,425704048118305;2017-03-11 00:20:00
0,428361197950858;2017-03-11 00:40:00
0,426579443703129;2017-03-11 01:00:00
0,429615544877561;2017-03-11 01:20:00
0,433730900177821;2017-03-11 01:40:00
0,433025921529773;2017-03-11 02:00:00
0,433626436786503;2017-03-11 02:20:00
0,435083161903112;2017-03-11 02:40:00
0,430920037596005;2017-03-11 03:00:00
0,429715008840488;2017-03-11 03:20:00
0,435628720216407;2017-03-11 03:40:00
0,437565269699618;2017-03-11 04:00:00
0,43906106177356;2017-03-11 04:20:00
0,439172268803585;2017-03-11 04:40:00
0,441064995310933;2017-03-11 05:00:00
0,436031502426169;2017-03-11 05:20:00
0,434014621985045;2017-03-11 05:40:00
0,432432972060017;2017-03-11 06:00:00
0,430937339282011;2017-03-11 06:20:00
0,428094131507433;2017-03-11 06:40:00
0,427385235007529;2017-03-11 07:00:00
0,416880811481076;2017-03-11 07:20:00
0,407325126401219;2017-03-11 07:40:00
0,40372587267161;2017-03-11 08:00:00
0,380628235945597;2017-03-11 08:20:00
0,367621984844244;2017-03-11 08:40:00
0,381278882770484;2017-03-11 09:00:00
0,392996210569758;2017-03-11 09:20:00
0,396350646084708;2017-03-11 09:40:00
0,399782080691128;2017-03-11 10:00:00
0,404509846018509;2017-03-11 10:20:00
0,400899299892599;2017-03-11 10:40:00
0,404224687754218;2017-03-11 11:00:00
0,400065541645236;2017-03-11 11:20:00
0,401352955308137;2017-03-11 11:40:00
0,392130275706435;2017-03-11 12:00:00
0,391485204321304;2017-03-11 12:20:00
