"","number","name","address","banking","bonus","status","contract_name","bike_stands","available_bike_stands","available_bikes","last_update","lat","lon","alt","nbstand200","nbstand500","nbstand1000","hr5","hr10","distcentre","distcentre2","distbord","RATP","RATP2","RATPtrafic","A","B","B1","C1","C2","C3","C4","C5","C6","C7","D","D1","E1","F1","F2","F3","Ga","Gb","gare","cinemas","cinemasfauteuils","cinemasseances","exp_distbord","exp_RATP","exp_RATP2","exp_A","exp_B","exp_B1","exp_C1","exp_C2","exp_C3","exp_C4","exp_C5","exp_C6","exp_C7","exp_D","exp_D1","exp_E1","exp_F1","exp_F2","exp_F3","exp_Ga","exp_Gb","exp_gare","exp_cinemas"
"987",3008,"03008 - PERLE","22 RUE DE LA PERLE - 75003 PARIS",TRUE,FALSE,"OPEN","Paris",18,6,12,1464182303000,48.859846683207,2.36105048709202,35.3694076538086,0,19,354,0.139888000488277,-35.7077743530274,1135.35275974442,5274.41008455427,7655.88108444693,502.895097789975,502.895097789975,6421101,300.81992176208,27.0127340339899,467.439147972773,55.3178564263327,349.965743546785,349.965743546785,224.891886464955,482.199761208967,240.347511952031,1353.4210244105,54.0798342295053,278.345342688145,130.246239150836,345.179100878379,6257.29100916043,457.959353913451,221.855316630786,123.3745124923,1851.76256035843,838.065485600924,350,910,2.81242449671586e-255,0.0797359447832456,0.0797359447832456,0.404571719836423,0.992729679579297,0.112478456823754,0.969862808138779,0.293828147000332,0.293828147000332,0.603044910867583,0.097767203853642,0.561204863233526,1.10870875099527e-08,0.971177248910029,0.46081376505668,0.843967891691514,0.303769491502056,9.07155023769054e-171,0.12279147366584,0.611281433128912,0.858805590505945,1.28214004943201e-15,0.000890669098564714
"988",22404,"22404 - BROSSOLETTE 2 (MALAKOFF)","102 AVENUE PIERRE BROSSOLETTE - 92240 MALAKOFF",TRUE,FALSE,"OPEN","Paris",25,22,3,1464182639000,48.8175597535818,2.30748584126749,71.5198211669922,0,38,177,8.91652984619141,-61.3149383544922,6788.81004643825,7711.86004700901,938.375819826522,994.541753678271,994.541753678271,7124158,260.792879189969,28.5819913068522,19.6460303284904,281.577352353436,402.189928238534,227.996061291544,210.751067234613,865.149523630152,1121.46011292075,865.149523630152,98.9177595306146,241.122338193008,116.982079889133,432.142853758331,3101.80549235316,377.294086511666,266.88835743389,159.841121491122,3475.39676840214,612.895201892877,224,1201,0.000149907549229751,5.0621559360604e-05,5.0621559360604e-05,0.506551512115052,0.991863975797953,0.996147773856898,0.452549534382969,0.19838069669177,0.594626358472976,0.641362715422755,0.000561534702564591,3.45140953764869e-06,0.000561534702564591,0.90678742172225,0.559115158073429,0.872102714500349,0.154513399145503,1.64312642183915e-42,0.240867502901782,0.490517681195161,0.774535455818184,3.5014702456768e-53,0.0233675894012917
"989",20004,"20004 - PORTE DE VINCENNES BIS","10 RUE DU COMMANDANT L'HERMINIER - 75020 PARIS",TRUE,FALSE,"OPEN","Paris",16,3,13,1464182573000,48.8470644175254,2.41602296002108,52.6218795776367,5,15,207,0.114469909667967,-54.1182754516602,7368.99853441475,8887.34095514652,5191.55350582637,276.51852019227,878.138289463555,6604200,130.61775950273,10.9781170470556,232.78858545387,266.887267148605,431.624072877533,617.438975471137,740.098922469996,1399.54566607659,643.868836296027,1650.3226229722,77.2835529936346,473.611189845739,50.4110599339899,190.91987392274,3269.68200064877,769.9512373019,79.7565932841508,79.7565932841508,4062.59602688303,2364.79313247738,316,1263,8.87078182202191e-118,0.465508501118591,0.000447753117606194,0.843150345599509,0.998795535411464,0.581639025265654,0.490520535857979,0.155207336222719,0.0220971003641545,0.00417991590774374,3.1142399404425e-09,0.0158328119989792,1.48493873719579e-12,0.942021222342821,0.106131584504863,0.974907436283062,0.694541069916892,3.71840761833825e-47,0.00266314086024242,0.938369821466143,0.938369821466143,2.09438911530611e-72,5.16632565452835e-25
"990",20007,"20007 - BUZENVAL","52 RUE BUZENVAL - 75020 PARIS",TRUE,FALSE,"OPEN","Paris",50,42,7,1464182489000,48.8516172049987,2.40151359730767,55.6524200439453,0,144,620,2.44666137695312,-53.6347587585449,5696.84524140358,7577.58840732669,6041.30469838298,26.9134559322629,26.9134559322629,1906757,37.2859264403305,19.8365850609439,64.6412232713986,225.953280709393,540.647851389894,735.137473446031,284.033122848331,595.486161298921,210.421811597482,276.467385610649,15.119574610573,558.334739060496,134.84431965619,234.807149948164,4559.37753826101,609.642512723076,241.927396321104,41.5969393813697,2704.39276796951,1466.8598078159,43,269,3.11866554069451e-159,0.992782828669334,0.992782828669334,0.986193789017732,0.996072830510086,0.95907607726373,0.600166086862699,0.0537720753488764,0.00449733154251672,0.44630703311733,0.0288386815685886,0.642252732800425,0.465640150186723,0.997716595579144,0.0442731531908263,0.833743143532405,0.576174924128006,5.23835804201689e-91,0.0243155325513409,0.556945075906435,0.982845784486129,1.72516127928714e-32,4.52254085552731e-10
"991",16004,"16004 - BOULEVARD LANNES","FACE 2 BOULEVARD LANNES - 75016 PARIS",TRUE,FALSE,"OPEN","Paris",70,63,7,1464182212000,48.8707532840488,2.27487529834497,44.856746673584,3,42,233,-2.95063705444337,-55.1027816772461,8471.22539254067,8561.63734205645,3427.4977539198,52.8353001134335,326.330933050352,2866342,405.315074621114,110.873433730025,279.181183444327,516.749683595805,516.749683595805,482.143879631474,407.290869546074,40.4948352386432,1054.28767312285,40.4948352386432,49.005647056319,800.645311568767,114.420493869281,77.5150939337023,5366.11149048673,1169.70740176638,210.287097303725,258.727649922585,5488.8692606669,1284.59198731432,752,1269,9.55453876018642e-52,0.97247035292269,0.344755855164298,0.193437058760286,0.884326285615311,0.458671353008665,0.0692312897204294,0.0692312897204294,0.0978199038635327,0.190356143073879,0.983735403659105,1.48839817000143e-05,0.983735403659105,0.9762705438297,0.00164448313239193,0.87728752108834,0.941683641485865,8.79511482583599e-126,1.14265728361365e-06,0.642616835939637,0.512015711267225,1.43589676199431e-131,6.8135617784424e-08
"992",21107,"21107 - SINCHOLLE (CLICHY)","RUE BERTRAND SINCHOLLE - 92110 CLICHY",TRUE,FALSE,"OPEN","Paris",23,3,20,1464182385000,48.8993596369799,2.30404056069809,33.2975082397461,0,0,189,-7.38794097900391,-53.300456237793,6720.82313179269,7696.28530396697,1113.82621862038,481.130687114242,481.130687114242,7138355,211.824322061881,99.5562994996563,254.52235495088,359.449760486432,703.997616783647,628.631248920207,24.7058706762494,800.206397001111,521.076808418608,1236.91050546623,92.9791386583969,226.469407276507,60.8577979624054,248.791373344392,1378.9234455226,640.715432965477,98.6747530802973,60.8577979624054,3447.93081632916,655.624491872625,647,1483,4.09358905615899e-06,0.0987792831600359,0.0987792831600359,0.638460522343933,0.90563894510816,0.523187018073612,0.274709445101978,0.00704014547917228,0.0192206035991666,0.99391478988815,0.00165607857079062,0.0661910247703877,2.267367950595e-07,0.91718030402187,0.598766289775342,0.963640753927402,0.538498011796948,5.52325384240672e-09,0.0164873367834168,0.907222931633276,0.963640753927402,2.34469585415949e-52,0.0135898139186594
"993",18102,"18102 - RUE DE LA CHAPELLE","69 BIS RUE DE LA CHAPELLE - 75018 PARIS",TRUE,FALSE,"OPEN","Paris",33,26,7,1464182395000,48.8964828318972,2.35884552523345,45.4390907287598,40,43,256,-2.57947921752929,-54.9289245605469,4067.86263939538,6541.39536852003,2711.06952207582,151.639996795345,151.639996795345,3049825,72.4155581692373,57.8114170353559,303.340153276385,285.994865448318,667.93472620908,503.469108307929,725.884706760758,11.512521446634,359.511531873251,738.162929232988,35.2518316782401,485.589507132397,27.2080537331593,232.875315206287,5615.26104319948,1008.35689279129,371.61569954898,208.102312957459,1895.68769031846,1779.08520093822,651,1062,1.20170747410485e-32,0.794575804258631,0.794575804258631,0.948911130048148,0.967130731892352,0.398458277183837,0.441344013961061,0.0115465569645712,0.0792766670402839,0.00514831359563,0.998675496429562,0.274587470328987,0.00430126935530004,0.987649978905196,0.094611930621418,0.99262455122173,0.581404166637266,1.15325906918426e-137,3.83852904714247e-05,0.25133155342952,0.648517865541198,2.47203894928733e-16,1.79454189908016e-14
"994",15065,"15065 - HUMBERT","23 RUE EMILE ZOLA - 75015 PARIS",TRUE,FALSE,"OPEN","Paris",63,31,31,1464182403000,48.8463837730034,2.28000841190413,31.4899215698242,3,66,279,-18.8198081970215,-50.9164123535156,7993.06500257619,8150.6439805734,4437.02811097916,190.181839547494,190.181839547494,2813391,297.334301423609,23.4158127206158,278.512486823642,204.278660777945,238.060101008878,457.328468946151,520.635130932707,464.713337574129,1440.02300572603,520.065408499146,33.2480517542047,182.443401115526,211.49831034464,285.156104443582,7460.25719231807,933.585809935349,279.398932287389,49.9867794218532,4901.01807745394,1342.28545901405,687,1021,3.15861430798969e-86,0.696497328806146,0.696497328806146,0.413095338832592,0.994532001371216,0.460385059787058,0.658824750386075,0.567379936911316,0.123502573498546,0.0664962718290359,0.115373006910197,9.86692603589527e-10,0.066891706297233,0.989006545129626,0.716873455130658,0.639342258118458,0.443463385361238,1.9566204978073e-242,0.000163970398214102,0.458113809383483,0.975322804569771,4.81459923448005e-105,1.49687291564753e-08
"995",21301,"21301 - SAINT VINCENT (ISSY LES MOULINEAUX)","21 RUE SAINT VINCENT - 92130 ISSY LES MOULINEAUX",TRUE,FALSE,"OPEN","Paris",34,18,15,1464182493000,48.8194899938888,2.25386941995849,34.6399421691895,0,11,74,-0.921746826171876,-44.7160705566406,11663.8618305746,11410.2591898531,2.88150103141948e-09,383.599750194937,1941.89658075105,5783355,264.951949752744,77.4315640609401,213.846329459936,124.71235291536,382.502829491228,48.2090533629148,250.092796797321,1828.26930866355,689.851256290892,876.812802301075,77.4315640609401,600.911808623501,89.9180436352081,189.556895695523,7985.28604188368,1596.54976157902,488.349083640136,314.197997408218,8246.94717572209,1967.62711684422,502,990,1,0.229583683146727,4.19680397622638e-17,0.495595426846994,0.941805528423146,0.632988815370567,0.855959934268554,0.231521127600302,0.977026866577676,0.535013087323153,3.04374828652452e-15,0.00857462894950408,0.000458290679949484,0.941805528423146,0.0270261593439976,0.922329682884947,0.698152186983922,1.18310111217447e-277,8.51057666873692e-12,0.0921029528469476,0.372617141880145,4.23680875922097e-296,1.5347720547713e-17
"996",17027,"17027 - PEREIRE LEVALLOIS","121 BOULEVARD PEREIRE - 75017 PARIS",TRUE,FALSE,"OPEN","Paris",51,44,6,1464182426000,48.885263313654,2.29828646679923,36.982421875,17,73,405,0.74458465576172,-35.0355751037598,6415.84076696892,7233.27573612367,2737.88075500889,99.2338943685481,99.2338943685481,4643622,39.5346816204437,44.025261936606,145.794518620429,123.323120731664,123.323120731664,241.766218893437,123.351294777311,376.195833363518,292.051383207639,1220.02159114865,55.5967858751015,229.531534290691,37.625758500318,137.250171153356,2921.86882218191,548.413928021827,80.4290370111999,114.083444300109,3060.18996685601,1061.00598980083,187,855,2.78820433840463e-33,0.906219564012206,0.906219564012206,0.984491602639354,0.980804390967396,0.808511467333825,0.858914478719573,0.858914478719573,0.557379442326663,0.858854787815851,0.242869006133619,0.426160132978322,3.43346110962143e-07,0.969562804598936,0.590463621009888,0.985942761750759,0.828303128131933,8.37339479763602e-38,0.049411189888218,0.937359592882844,0.87796344322331,2.13477761634757e-41,1.29122110161396e-05
"997",10037,"10037 - VERSION 2 JAURES","EGLISE SAINT JOSEPH ARTISAN - 75010 PARIS",TRUE,FALSE,"OPEN","Paris",25,23,2,1464182173000,48.8812681639529,2.36811752799007,52.7183952331543,0,140,661,-3.64339141845703,-55.3318580627441,2973.85232753728,5952.77065526743,4911.68897152062,245.375324288338,245.375324288338,2395333,200.988866474901,111.050507459524,311.920134145435,118.269996243753,43.8478895814686,529.685747624461,218.350802277155,218.350802277155,442.794319056817,706.012101509799,102.269654622423,60.5569562411256,205.865231962238,200.895040959633,6574.85662149224,606.178804451472,142.156223925158,223.303408871962,1213.67709988149,552.970029141765,825,247,1.68969702007679e-105,0.547665545000976,0.547665545000976,0.667667325998356,0.883978841071722,0.377969527816899,0.869464373030733,0.980957273680786,0.0604662505125761,0.620784841218987,0.620784841218987,0.140764346262784,0.00684298749257413,0.900692990443503,0.963992803650887,0.654551548043586,0.66791913055218,1.81957244120711e-188,0.0253613877308519,0.817026360207637,0.607353597768315,4.00672669800955e-07,0.046992910395898
"998",1018,"01018 - RIVOLI TUILERIE","2 RUE D'ALGER - 75001 PARIS",TRUE,FALSE,"OPEN","Paris",21,0,21,1464182165000,48.8647936661262,2.32943142194585,34.1489906311035,4,24,226,-20.6369705200195,-68.3588279724121,2407.37281086343,5242.89367529231,6964.3063858415,126.863381737737,126.863381737737,2607243,131.836403942637,47.0122727602568,239.192594321221,391.835931830958,656.151131711744,552.448474024778,239.608749645609,163.77567991742,261.040453740547,1050.41826269524,22.4554723605844,804.34978151774,171.614792044898,357.973250355719,6060.1182870258,296.788088204723,171.614792044898,11.0751215844902,1347.2491629101,836.600287592042,243,295,2.29290658311422e-211,0.85134044608143,0.85134044608143,0.840457935782758,0.978140911633849,0.564321603073568,0.215379438794337,0.0134962545001484,0.047264624272239,0.563198279466606,0.764735900148975,0.505897507332393,1.61468549687482e-05,0.994970209582977,0.00154955775165414,0.744891753491475,0.277634860600325,3.20040815977583e-160,0.414438083052184,0.744891753491475,0.998774168764565,1.30980421825826e-08,0.000912793927550219
"999",5028,"05028 - CENSIER BUFFON","6 RUE CENSIER - 75005 PARIS",TRUE,FALSE,"OPEN","Paris",55,8,47,1464182655000,48.8410800220159,2.35543071424475,35.9036674499512,0,103,382,-4.99012222290039,-43.6992218017578,2250.52808869553,5552.3746367925,4958.53367688707,389.703094242771,389.703094242771,3575817,297.405116274117,88.6042008166762,438.317718987904,93.779319430593,93.779319430593,93.779319430593,349.705229692213,47.7298361036661,471.653485274423,19.5111610376024,19.0880029483835,275.86096466385,178.135702820384,80.021753313134,4268.54581412833,230.88167297974,240.750878520701,111.880141548741,1119.79495015034,328.959291745452,214,701,1.65871416386734e-107,0.218999678626876,0.218999678626876,0.412921394649788,0.924495547740143,0.146427591631033,0.915810688575257,0.915810688575257,0.915810688575257,0.294364207665752,0.97747616354042,0.108113886620292,0.996200382832363,0.996363110994109,0.467202396375591,0.72809533390481,0.937972348113968,7.40365477202044e-80,0.58680455565948,0.560116850683556,0.882345425524075,3.58265180600077e-06,0.33886883758251
"1000",15024,"15024 - LAOS","88 AVENUE DE SUFFREN - 75015 PARIS",TRUE,FALSE,"OPEN","Paris",22,9,11,1464182274000,48.8509146081717,2.30129338467014,36.2944107055664,0,65,515,0.698229217529303,-34.5735046386719,5586.24785403089,6544.82375149694,5566.5429382531,404.845568655639,404.845568655639,7972850,133.499144450069,99.3254465763493,306.6554236213,457.679262609112,956.665204664569,598.294660916761,500.00942785917,537.113655572431,454.412881791971,1613.16754477924,40.4209426706658,569.898017946589,174.220281566666,121.079863231629,6726.75549979361,1115.48714012176,97.9843940688742,182.742134381448,2654.64102394716,909.427611326104,493,1040,2.67777096787974e-135,0.194174246617093,0.194174246617093,0.836758135928575,0.906054841444048,0.390481186686007,0.123106791807318,0.000105998762530702,0.0278878264643768,0.0820772600576676,0.0558597725631941,0.126829619576264,4.99244535404119e-12,0.983794223691379,0.0388581474495528,0.738209909142547,0.863636485745896,3.05526942367812e-197,3.94478699901135e-06,0.908455463092462,0.716091822318155,2.48171095269017e-31,0.000255935319804117
