"","number","name","address","lat","lon","nombre","effectif","eff_00","eff_01","eff_02","eff_03","eff_05","eff_06","eff_07","eff_08","eff_09","eff_10","eff_11","eff_12","eff_13","eff_14","eff_15","eff_16","eff_17","eff_18","eff_19","eff_20","eff_21","eff_22","eff_23","eff_24","eff_25","eff_26","eff_27","eff_28","eff_29","eff_30","eff_31","eff_32","eff_33","eff_35","eff_36","eff_37","eff_38","eff_39","eff_41","eff_42","eff_43","eff_45","eff_46","eff_47","eff_49","eff_50","eff_51","eff_52","eff_53","eff_55","eff_56","eff_58","eff_59","eff_60","eff_61","eff_62","eff_63","eff_64","eff_65","eff_66","eff_68","eff_69","eff_70","eff_71","eff_72","eff_73","eff_74","eff_75","eff_77","eff_78","eff_79","eff_80","eff_81","eff_82","eff_84","eff_85","eff_86","eff_87","eff_88","eff_90","eff_91","eff_92","eff_93","eff_94","eff_95","eff_96","eff_99","nb_00","nb_01","nb_02","nb_03","nb_05","nb_06","nb_07","nb_08","nb_09","nb_10","nb_11","nb_12","nb_13","nb_14","nb_15","nb_16","nb_17","nb_18","nb_19","nb_20","nb_21","nb_22","nb_23","nb_24","nb_25","nb_26","nb_27","nb_28","nb_29","nb_30","nb_31","nb_32","nb_33","nb_35","nb_36","nb_37","nb_38","nb_39","nb_41","nb_42","nb_43","nb_45","nb_46","nb_47","nb_49","nb_50","nb_51","nb_52","nb_53","nb_55","nb_56","nb_58","nb_59","nb_60","nb_61","nb_62","nb_63","nb_64","nb_65","nb_66","nb_68","nb_69","nb_70","nb_71","nb_72","nb_73","nb_74","nb_75","nb_77","nb_78","nb_79","nb_80","nb_81","nb_82","nb_84","nb_85","nb_86","nb_87","nb_88","nb_90","nb_91","nb_92","nb_93","nb_94","nb_95","nb_96","nb_99"
"113",5020,"05020 - PONT DE SULLY RIVE GAUCHE","03 RUE DES FOSSES SAINT BERNARD - 75005 PARIS",48.8491596891678,2.35614032747538,474,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,1,111,7,0,0,0,0,1,1,0,9,12,16,1,3,72,0,1,0,0,0,3,0,22,16,0,110,1,0,0,0,7,0,0,3,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,3,2,3,30,0,0,0,1,2,1,21,7,3,0,1,6,3,8,0,10,144,25,29,9,17,2,12,0,2,1,1,1,28,6,0,17,13,0,1,21,3,0,1,25,1,6,0
"114",5021,"05021 - JUSSIEU","41 RUE JUSSIEU - 75005 PARIS",48.8471846411502,2.35339837968935,565,3224,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,20,0,0,0,0,20,10,83,101,0,0,0,3,20,9,0,1,7,1,10,3,101,0,6,0,3,0,0,0,6,8,0,2711,1,0,1,50,3,0,4,9,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,1,8,20,5,0,0,0,1,1,27,8,6,0,0,9,3,12,0,15,76,3,47,21,45,4,17,0,2,0,2,0,11,13,1,35,9,0,1,37,1,0,6,89,1,9,0
"115",5022,"05022 - CARDINAL LEMOINE","40 RUE BOU LANGERS - 75005 PARIS",48.8462950317216,2.35222292160749,991,496,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,21,11,11,50,55,0,0,0,0,40,57,6,11,0,0,6,1,11,0,4,14,0,11,0,0,1,2,0,7,1,10,0,18,22,0,8,8,0,1,12,6,0,11,15,1,22,0,0,1,0,0,0,0,0,0,0,5,0,0,0,4,2,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,16,0,37,7,48,65,22,0,0,1,2,4,41,22,29,0,2,38,4,26,0,10,172,2,92,18,6,12,27,0,9,1,3,0,29,13,1,35,35,1,3,48,2,0,16,44,4,18,0
"116",5023,"05023 - PLACE JUSSIEU","13 RUE JUSSIEU - 75005 PARIS",48.8456168785096,2.35574549999879,337,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,42,0,1,0,0,1,0,21,0,0,6,0,0,0,11,10,0,0,0,0,0,0,10,3,0,774,0,0,1,1,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,17,1,0,0,0,1,1,19,5,5,0,1,10,4,8,0,1,39,1,17,9,20,2,12,0,1,0,2,0,15,9,2,32,10,0,2,27,0,0,1,50,1,6,0
"117",5024,"05024 - PLACE MONGE","4 RUE DOLOMIEU - 75005 PARIS",48.8427350429896,2.35247243722336,603,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,103,0,0,0,20,0,0,18,3,0,0,0,1,0,16,0,1,6,1,2,10,0,0,0,0,0,0,0,0,23,1,0,17,11,0,50,2,0,0,3,6,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,5,0,8,42,4,0,0,3,2,0,12,7,10,0,1,14,4,7,0,6,104,13,52,12,4,3,36,1,0,0,0,0,38,5,0,23,51,0,2,72,0,0,4,35,2,7,0
"118",5026,"05026 - MOUFFETARD SAINT MEDARD","3 RUE PASCAL - 75005 PARIS",48.8389938245432,2.34993205295774,1085,4346,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,134,0,0,0,0,0,23,191,62,1,0,0,7,13,26,0,0,3126,3,3,2,71,0,3,3,0,1,4,0,37,4,6,398,3,0,110,5,1,0,0,53,0,13,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,5,1,0,0,0,0,0,2,0,5,3,28,88,1,0,0,0,2,6,53,12,12,0,3,18,8,17,0,6,210,9,65,16,9,6,33,2,2,2,3,0,71,13,2,61,79,1,4,76,1,1,7,107,1,18,0
"119",5027,"05027 - GOBELINS","22 AVENUE DES GOBELINS - 75005 PARIS",48.8371260386106,2.35143332976764,1056,1946,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,209,0,5,3,4,95,0,0,0,10,0,27,142,7,7,0,0,1,50,79,6,5,57,1,3,18,0,0,0,0,0,0,10,6,38,4,201,57,771,20,30,2,0,0,0,13,0,56,0,0,0,3,0,0,0,0,0,0,5,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,31,0,8,2,12,55,2,0,0,1,8,4,33,11,10,0,0,20,4,27,2,8,220,11,81,30,5,9,30,1,4,0,6,1,67,15,2,36,91,2,6,81,0,0,6,64,1,29,0
"120",5028,"05028 - CENSIER BUFFON","6 RUE CENSIER - 75005 PARIS",48.8410800220159,2.35543071424475,194,325,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,2,3,0,100,1,0,26,0,100,0,3,5,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,0,4,8,0,0,0,0,0,0,10,1,3,0,0,3,1,2,0,2,30,5,16,4,3,1,3,0,0,0,1,0,5,3,0,13,16,0,2,23,1,0,4,11,0,4,0
"121",5029,"05029 - PORT ROYAL","FACE 41 AVENUE GEORGES BERNANOS - 75005 PARIS",48.8401089566606,2.33729688973794,955,1552,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,13,0,1,17,0,0,0,0,0,25,127,0,1,0,1,5,3,9,0,0,116,6,9,11,56,3,7,0,0,0,1,0,39,10,0,20,14,20,951,2,10,0,4,35,1,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,0,1,0,4,1,7,0,7,36,4,0,0,0,5,4,31,6,8,0,1,15,8,22,0,6,190,113,74,23,16,7,21,0,2,0,3,2,56,14,1,32,61,2,14,50,3,0,5,64,5,11,0
"122",5030,"05030 - SORBONNE","5 RUE DE LA SORBONNE - 75005 PARIS",48.8497703706033,2.34357357573301,216,2637,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,30,41,0,22,0,0,1,0,10,0,0,0,4,0,0,1,0,0,0,0,0,3,0,19,0,1610,730,20,0,0,3,70,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,16,1,0,0,1,0,3,7,1,7,0,0,5,1,1,0,1,20,13,10,4,5,0,1,0,1,0,1,0,11,3,2,10,3,0,0,14,3,0,3,57,1,2,0
"123",5031,"05031 - LACEPEDE","2 RUE LACEPEDE - 75005 PARIS",48.8436748454376,2.35461598268321,711,1932,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,29,0,4,8,0,0,0,0,0,10,93,3,0,0,0,3,3,4,10,5,8,1,9,3,2,0,0,0,3,0,16,0,25,14,0,6,286,0,0,2,1300,0,23,35,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,20,1,15,27,6,0,0,1,2,3,35,8,8,1,0,11,5,8,2,9,109,8,51,15,9,2,22,1,2,1,4,0,28,15,1,15,109,0,1,66,1,0,9,59,1,7,0
"124",5032,"05032 - PANTHEON CARMES","2 RUE VALETTE - 75005 PARIS",48.8469867528133,2.34649965376297,313,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,35,3,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,4,0,4,1,0,1947,0,0,20,1,60,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,2,0,15,5,2,0,0,5,3,3,0,1,43,7,16,4,4,4,7,0,0,0,3,0,11,5,2,34,6,0,3,15,2,0,3,94,0,2,0
"125",5033,"05033 - SAINT SEVERIN","42 RUE SAINT SEVERIN - 75005 PARIS",48.8527056477051,2.34413776324567,769,1019,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,206,20,0,0,3,0,48,468,14,10,0,0,22,0,23,0,1,34,28,7,6,0,0,1,0,0,0,0,0,15,11,0,1,0,0,20,8,10,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,12,68,1,0,0,2,4,12,126,5,13,0,0,13,2,13,0,5,201,73,44,7,2,3,18,0,0,0,0,0,39,10,0,11,15,0,3,28,1,0,3,19,0,0,0
"126",5034,"05034 - CENSIER","21 RUE CENSIER - 75005 PARIS",48.8405086637125,2.35371355203341,752,731,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,28,3,0,0,0,0,26,31,3,17,0,0,7,1,9,0,0,21,4,4,8,51,2,0,0,0,0,1,0,38,2,6,307,18,0,17,22,50,0,6,14,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,15,5,14,24,6,0,0,1,9,3,27,5,19,0,0,21,5,8,0,2,122,20,51,20,10,11,24,0,1,1,1,1,59,13,2,39,25,0,6,77,2,0,7,68,0,11,0
"127",5035,"05035 - BUFFON AUSTERLITZ","1 RUE BUFFON - 75005 PARIS",48.8431581782293,2.36374844464159,53,350,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,103,0,0,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,0,1,8,1,0,0,0,1,0,0,0,0,9,6,2,1,0,2,2,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,2,2,0,0,0
"128",5104,"05104 - BUFFON","47 RUE BUFFON - 75005 PARIS",48.841916179826,2.35891268131767,201,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,7,1,0,0,0,0,0,3,7,2,0,0,5,2,3,0,1,45,2,20,6,6,2,8,0,1,0,0,0,18,1,0,6,5,1,1,14,0,0,1,23,0,4,0
"129",5105,"05105 - GEOFFROY SAINT HILAIRE","8 RUE GEOFFROY SAINT HILAIRE - 75005 PARIS",48.8390782642497,2.35687734066973,563,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,20,0,0,0,0,0,0,34,0,2,0,0,4,0,13,0,1,7,3,3,9,1,11,1,0,0,0,0,0,9,16,40,4,549,0,80,8,0,0,3,19,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,8,2,8,35,3,0,0,1,2,0,20,6,13,0,0,10,4,9,0,4,78,2,43,8,5,6,12,0,0,0,1,0,22,14,6,20,98,1,5,60,1,0,6,17,4,19,0
"130",5106,"05106 - CUJAS","22 RUE CUJAS - 75005 PARIS",48.8481913485843,2.34183165485398,388,1518,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,10,0,0,3,0,70,72,1,0,0,0,9,0,14,0,0,29,1,3,3,0,0,0,0,0,3,0,0,6,9,30,1099,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,42,1,0,0,2,4,9,15,7,5,0,0,7,0,9,1,5,71,8,20,4,5,2,6,0,0,1,0,0,9,7,2,33,15,0,0,17,1,0,3,66,0,2,0
