Variable;lbl;lbl2
eff_77;Effectifs salariés - Activités de location et location-bail;eff_77 : Effectifs salariés - Activités de location et location-bail
eff_78;Effectifs salariés - Activités liées à l'emploi;eff_78 : Effectifs salariés - Activités liées à l'emploi
eff_79;Effectifs salariés - Activités des agences de voyage, voyagistes, services de réservation et activités connexes;eff_79 : Effectifs salariés - Activités des agences de voyage, voyagistes, services de réservation et activités connexes
eff_80;Effectifs salariés - Enquêtes et sécurité;eff_80 : Effectifs salariés - Enquêtes et sécurité
eff_81;Effectifs salariés - Services relatifs aux bƒtiments et aménagement paysager;eff_81 : Effectifs salariés - Services relatifs aux bƒtiments et aménagement paysager
eff_82;Effectifs salariés - Activités administratives et autres activités de soutien aux entreprises;eff_82 : Effectifs salariés - Activités administratives et autres activités de soutien aux entreprises
eff_84;"Effectifs salariés - Administration publique et défense ; sécurité sociale obligatoire";"eff_84 : Effectifs salariés - Administration publique et défense ; sécurité sociale obligatoire"
eff_85;Effectifs salariés - Enseignement;eff_85 : Effectifs salariés - Enseignement
eff_86;Effectifs salariés - Activités pour la santé humaine;eff_86 : Effectifs salariés - Activités pour la santé humaine
eff_87;Effectifs salariés - Hébergement médico-social et social;eff_87 : Effectifs salariés - Hébergement médico-social et social
eff_88;Effectifs salariés - Action sociale sans hébergement;eff_88 : Effectifs salariés - Action sociale sans hébergement
eff_90;Effectifs salariés - Activités créatives, artistiques et de spectacle;eff_90 : Effectifs salariés - Activités créatives, artistiques et de spectacle
eff_91;Effectifs salariés - Bibliothèques, archives, musées et autres activités culturelles;eff_91 : Effectifs salariés - Bibliothèques, archives, musées et autres activités culturelles
eff_92;Effectifs salariés - Organisation de jeux de hasard et d'argent;eff_92 : Effectifs salariés - Organisation de jeux de hasard et d'argent
eff_93;Effectifs salariés - Activités sportives, récréatives et de loisirs;eff_93 : Effectifs salariés - Activités sportives, récréatives et de loisirs
eff_94;Effectifs salariés - Activités des organisations associatives;eff_94 : Effectifs salariés - Activités des organisations associatives
eff_95;Effectifs salariés - Réparation d'ordinateurs et de biens personnels et domestiques;eff_95 : Effectifs salariés - Réparation d'ordinateurs et de biens personnels et domestiques
eff_96;Effectifs salariés - Autres services personnels;eff_96 : Effectifs salariés - Autres services personnels
eff_99;Effectifs salariés - Activités des organisations et organismes extraterritoriaux;eff_99 : Effectifs salariés - Activités des organisations et organismes extraterritoriaux
nb_00;Nombre d'établissements - Inconnu;nb_00 : Nombre d'établissements - Inconnu
nb_01;Nombre d'établissements - Culture et production animale, chasse et services annexes;nb_01 : Nombre d'établissements - Culture et production animale, chasse et services annexes
nb_02;Nombre d'établissements - Sylviculture et exploitation forestière;nb_02 : Nombre d'établissements - Sylviculture et exploitation forestière
nb_03;Nombre d'établissements - Pêche et aquaculture;nb_03 : Nombre d'établissements - Pêche et aquaculture
nb_05;Nombre d'établissements - Extraction de houille et de lignite;nb_05 : Nombre d'établissements - Extraction de houille et de lignite
nb_06;Nombre d'établissements - Extraction d'hydrocarbures;nb_06 : Nombre d'établissements - Extraction d'hydrocarbures
nb_07;Nombre d'établissements - Extraction de minerais métalliques;nb_07 : Nombre d'établissements - Extraction de minerais métalliques
nb_08;Nombre d'établissements - Autres industries extractives;nb_08 : Nombre d'établissements - Autres industries extractives
