"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"time"
0,141869020014814;0,743365165950531;0,689969403270751;0,625098515629507;0,31980947704924;0,142252469102692;0,37642944231311;0,639013955422371;0,193913899266795;2017-03-10 15:00:00
0,142724052641037;0,725737439415664;0,688423877700846;0,615770924417715;0,314063389147887;0,135677796846011;0,383368067408605;0,60372632325562;0,201159909811819;2017-03-10 15:20:00
0,149661042213674;0,748351636417495;0,692952441062323;0,609504949032393;0,301985770767254;0,142364925747407;0,395527409526635;0,630088224073895;0,210166879032586;2017-03-10 15:40:00
0,155798679068705;0,716524857672578;0,67424421737081;0,590058276134645;0,329309228218357;0,136356051619716;0,382200608336491;0,605136926922196;0,22037419071726;2017-03-10 16:00:00
0,149012288850217;0,721301758317497;0,692241888803548;0,563242041123411;0,294536593446438;0,142900226453599;0,398881733271275;0,595340109029596;0,205359095485967;2017-03-10 16:20:00
0,140822224622172;0,704933962877896;0,679545282637524;0,557995081934237;0,312673314025222;0,133314561773809;0,405911339394033;0,602798415299164;0,207828289402416;2017-03-10 16:40:00
0,15797077705113;0,694518740382678;0,67854203868513;0,522422461214948;0,313422478401544;0,135621478129258;0,41521537356897;0,577494190918874;0,222225853602643;2017-03-10 17:00:00
0,165802174631293;0,664631116745109;0,671569126114335;0,499421778892715;0,302565503415108;0,13893828978807;0,416950855270958;0,549420424920598;0,2224646230898;2017-03-10 17:20:00
0,157249842342046;0,621068027715772;0,667523979696663;0,472757709593486;0,319397002191851;0,139062348694165;0,450577986408747;0,544395077921578;0,225599322913399;2017-03-10 17:40:00
0,168213227499651;0,621714358459001;0,66743090016323;0,413799924653512;0,306789049708961;0,137531092977942;0,456634651673398;0,504645235379733;0,256672338497454;2017-03-10 18:00:00
0,166049464177003;0,58747543678942;0,670427125334454;0,336381941281752;0,322323368199804;0,145767028141727;0,494303340948045;0,495053880421114;0,278946878473937;2017-03-10 18:20:00
0,181962451807154;0,536716619770206;0,672833913329347;0,305166505024727;0,324604707637797;0,143592595550723;0,535760939334489;0,454781778578468;0,314384661758245;2017-03-10 18:40:00
0,181609769360008;0,51259766971121;0,668351113631154;0,251749145010192;0,332812705560665;0,143429941090602;0,54459595421282;0,429031321796148;0,356229548555613;2017-03-10 19:00:00
0,181736511357671;0,494800364359717;0,694620508475259;0,218236550188438;0,338798904001526;0,133756560683431;0,576697724934179;0,438822182899569;0,410822962197761;2017-03-10 19:20:00
0,207133049967344;0,479575631071647;0,709868540598973;0,188266890253766;0,334224473638457;0,149478098062235;0,618411737984866;0,423857963183957;0,443374645838164;2017-03-10 19:40:00
0,214480175678595;0,454602052516385;0,721902026702485;0,16260786680556;0,364699442220019;0,156538081020881;0,63777981650207;0,408309936025626;0,494052106637135;2017-03-10 20:00:00
0,214034408210126;0,465149818169705;0,730894255762421;0,168011833360327;0,350860480333273;0,150021366061039;0,655965104998231;0,415656596102763;0,520864350400918;2017-03-10 20:20:00
0,234500971560174;0,443523313254419;0,743985682158065;0,156405501077662;0,358144805728409;0,164109889425344;0,676483582840421;0,41487645280659;0,534933703610496;2017-03-10 20:40:00
0,243926669649799;0,451999008436875;0,753084136939534;0,146937417983925;0,367928145609869;0,166184242247316;0,689648553803366;0,415985630503139;0,578107031094286;2017-03-10 21:00:00
0,256487914457895;0,431011348052152;0,765501251271894;0,140901498326204;0,352079137884603;0,172017525712391;0,699543552778786;0,408518488749613;0,599668569233975;2017-03-10 21:20:00
0,274211311922014;0,408779268688115;0,761424427009408;0,140905282215931;0,344935367773077;0,169525570888017;0,711411183783648;0,402400221873836;0,618602772088918;2017-03-10 21:40:00
0,2608388806092;0,405575709750274;0,761860260080315;0,139218868460969;0,346723274222798;0,16594439373018;0,736232807670246;0,401709495377404;0,639612871890626;2017-03-10 22:00:00
0,256863403211977;0,401333089428861;0,757968132851347;0,137020635359464;0,338823527968766;0,159910422881675;0,716725368646576;0,405081983827611;0,646545624176063;2017-03-10 22:20:00
0,270163563982745;0,37708174230466;0,763226875605479;0,127284591243154;0,357612749884324;0,158014980183878;0,760014061920711;0,412589545352503;0,672887826326058;2017-03-10 22:40:00
0,261296861024784;0,365406235821047;0,757159644028091;0,121223374497938;0,354218144562443;0,151203555808342;0,745867504708443;0,391387131749327;0,681814801834737;2017-03-10 23:00:00
0,286990152038338;0,342306845804815;0,743574065123636;0,126946139962833;0,348767791996755;0,157229205810776;0,746576018976835;0,386993335393269;0,699809753851503;2017-03-10 23:20:00
0,293167945745402;0,324036855538536;0,749518004556351;0,123054436532662;0,376414676811368;0,152378973513682;0,763949917086874;0,402404783580818;0,706791625502172;2017-03-10 23:40:00
0,311131518709222;0,300085849606525;0,750963664169936;0,127032297040962;0,375336693703458;0,153510241856355;0,764562593455796;0,40514081389897;0,723652684605166;2017-03-11 00:00:00
0,320583408447072;0,296227982416514;0,743339428890318;0,115399606496351;0,36954777306613;0,156177764569467;0,767196313730424;0,396663453601378;0,73578306326632;2017-03-11 00:20:00
0,345357846190461;0,288761779629314;0,741603266012538;0,121817661984746;0,373988431391952;0,153076360372976;0,769106121134631;0,394651225139165;0,738584877550006;2017-03-11 00:40:00
0,371039646345409;0,267968140842786;0,728414622365296;0,126658628263836;0,369833632499696;0,151739197345304;0,757346472693579;0,387790287034658;0,751005102961305;2017-03-11 01:00:00
0,389473598515303;0,257513362032978;0,727825075680893;0,127436044494916;0,379158793817972;0,160742844352234;0,755587773835645;0,387949392847341;0,744611971142123;2017-03-11 01:20:00
0,406283041319168;0,254979919099418;0,72505700885054;0,134214070094421;0,391205865865543;0,166688323820687;0,749880493344399;0,385101571045366;0,754121135392375;2017-03-11 01:40:00
0,416432578285941;0,245653900095458;0,718469883963292;0,136428182867782;0,386999137513188;0,166936372656466;0,751427015509071;0,392137281181172;0,747101993065714;2017-03-11 02:00:00
0,436770114017944;0,247473553583561;0,715148637607582;0,130412672872534;0,391408991656901;0,167168556305178;0,741862960604434;0,387301738820151;0,746533570115425;2017-03-11 02:20:00
0,440460280280965;0,24769167641319;0,713442876869735;0,131930870382713;0,389906734674972;0,168110193296068;0,740787141419193;0,38766728333051;0,760135587499215;2017-03-11 02:40:00
0,444772200967057;0,23587894987355;0,716234712817775;0,127928523844824;0,398845313398882;0,171970600391823;0,728312953191446;0,366972702169205;0,732529250723911;2017-03-11 03:00:00
0,468160422260228;0,237795089367398;0,682921721857436;0,130797151650126;0,393056221481607;0,169994207368875;0,716946415429138;0,378282783704374;0,755437113189591;2017-03-11 03:20:00
0,491263017726115;0,231773655775204;0,698216444612457;0,136262104377941;0,392420213759697;0,171812591866976;0,723427057935207;0,38764311307677;0,745821965227326;2017-03-11 03:40:00
0,506238989924111;0,233352792206624;0,690437834843187;0,137676832555213;0,395081797977256;0,174695433367353;0,730141133224835;0,376662308253352;0,749239204496338;2017-03-11 04:00:00
0,525286748904613;0,225960537502453;0,687899914905272;0,140844574513885;0,405440822478052;0,180562228703079;0,707417615287827;0,386748280505822;0,746264460659974;2017-03-11 04:20:00
0,519324242440048;0,237795557031358;0,694082688630491;0,13673341158153;0,398716669297343;0,179048680486544;0,709614420148826;0,392607739953828;0,738150336300304;2017-03-11 04:40:00
0,532407368663555;0,226867963868923;0,689040821213498;0,14558270880748;0,393667818454234;0,186198398660299;0,705088745510616;0,39111131304845;0,749517992627179;2017-03-11 05:00:00
0,510033795423978;0,238590542639398;0,703286081473603;0,130510264289974;0,389727869355352;0,171592635124238;0,708900948600676;0,395845999778548;0,72747715358508;2017-03-11 05:20:00
0,490038878849475;0,264932112272545;0,714492399347811;0,133634914725842;0,393412425845775;0,161593174284139;0,701732742576745;0,378036754776666;0,722473514443284;2017-03-11 05:40:00
0,492007600048822;0,258457972734852;0,709386650246716;0,131226021590856;0,393437717454247;0,158659519855525;0,702733894771662;0,391789532892866;0,714103295431215;2017-03-11 06:00:00
0,49049174049948;0,258077533495173;0,713436160228052;0,138109655303349;0,385647651645688;0,158690686030155;0,693657305028863;0,395120131845576;0,700915075115431;2017-03-11 06:20:00
0,479008057623802;0,25825181571498;0,713871769558864;0,14054558981229;0,388944299296956;0,151488100534029;0,692737554415105;0,384582658979946;0,703713081621966;2017-03-11 06:40:00
0,469969041345629;0,27710393930308;0,707928503299292;0,147201788206852;0,394864227761712;0,158891915722496;0,68579126077023;0,408876746870621;0,656512494737272;2017-03-11 07:00:00
0,448156527412953;0,270119447873766;0,680207772803661;0,155606739750281;0,384136038965859;0,167120834798204;0,665994334167823;0,394594691500647;0,641786970547658;2017-03-11 07:20:00
0,407981651192272;0,309702776448594;0,671779678503546;0,179403025856491;0,393643796298441;0,151446548264852;0,635194883625884;0,401990502206198;0,592610850468776;2017-03-11 07:40:00
0,396704873603944;0,322136329958486;0,670483355509824;0,240374675393339;0,407967905060075;0,155393357772983;0,594036111154054;0,406100166441737;0,517337459435834;2017-03-11 08:00:00
0,319568335671053;0,362862751061754;0,628740135240894;0,259973151053557;0,383560222418128;0,145447945406012;0,569065838575862;0,426068013405026;0,426541529139165;2017-03-11 08:20:00
0,245856608470966;0,417598436123105;0,638896271055295;0,341381637338726;0,355255256813846;0,142954820455478;0,480438953302809;0,465382879091385;0,328158515227131;2017-03-11 08:40:00
