"","number","name","address","lat","lon","lon2"
"77",4011,"04011 - PLACE DU BATAILLON FRANCAIS DE L'ONU","FACE 18 RUE DE L'HOTEL DE VILLE - 75004 PARIS",48.8538141453159,2.35709265436395,1.55074985925048
"78",4012,"04012 - ECOUFFES RIVOLI","2 RUE TIRON - 75004 PARIS",48.8557966374038,2.35790788213517,1.55128620403486
"79",4013,"04013 - FRANCS BOURGEOIS","50 RUE VIEILLE DU TEMPLE - 75004 PARIS",48.8585107129922,2.35863357911747,1.55176364580664
"80",4014,"04014 - ARCHIVES BLANCS MANTEAUX","29 RUE DES BLANCS MANTEAUX - 75004 PARIS",48.8594027196436,2.35592748653501,1.54998328614042
"81",4015,"04015 - MAIRIE DU 4 EME","25 RUE DU PONT LOUIS PHILIPPE - 75004 PARIS",48.8559658562102,2.35638115487306,1.55028175812033
"82",4016,"04016 - LOBAU","3 RUE LOBAU - 75004 PARIS",48.8562467217007,2.35328134461219,1.54824236848631
"83",4017,"04017 - PLACE DE L'HOTEL DE VILLE","11 PLACE DE L'HOTEL DE VILLE - 75004 PARIS",48.857232,2.351621,1.54715001466267
"84",4018,"04018 - RIVOLI SEBASTOPOL","1 RUE SAINT BON - 75004 PARIS",48.8579996433149,2.35021728097635,1.546226496839
"85",4019,"04019 - BEAUBOURG SAINT MERRY","4 RUE DU CLOITRE SAINT MERRI - 75004 PARIS",48.8588289881925,2.35189147061665,1.54732795941589
"86",4020,"04020 - BEAUBOURG PLACE MICHELET","FACE 27 RUE QUINCAMPOIX - 75004 PARIS",48.8600883261048,2.3501483359202,1.54618113734245
"87",4021,"04021 - BEAUBOURG RAMBUTEAU","49 RUE RAMBUTEAU - 75004 PARIS",48.8614190722232,2.35258144286207,1.54778189760135
"88",4101,"04101 - BASTILLE","11 RUE DE LA BASTILLE - 75004 PARIS",48.8537973449702,2.3684008069604,1.55818958208651
"89",4103,"04103 - HOTEL DE VILLE","1 RUE DES ARCHIVES - 75004 PARIS",48.8572037876971,2.35397627361878,1.54869956776406
"90",4104,"04104 - SEBASTOPOL RAMBUTEAU","FACE 40 BOULEVARD SEBASTOPOL - 75004 PARIS",48.8618831022142,2.35022097609622,1.54622892788752
"91",4105,"04105 - MORLAND","17 BOULEVARD DU MORLAND - 75004 PARIS",48.8499600352775,2.36323986872132,1.5547941600894
"92",4107,"04107 - BEAUMARCHAIS","27 BOULEVARD BEAUMARCHAIS - 75004 PARIS",48.8555013577017,2.36842906992905,1.55820817651663
"93",5001,"05001 - SAINT GERMAIN HARPE","32 RUE DE LA HARPE - 75005 PARIS",48.8515813400282,2.34370453672277,1.54194171099663
"94",5002,"05002 - SAINT JACQUES","20 RUE SOMMERARD - 75005 PARIS",48.8503104329245,2.34501583529859,1.5428044246783
"95",5003,"05003 - GAY LUSSAC LE GOFF","9 RUE LE GOFF - 75005 PARIS",48.8462392817034,2.34132491601157,1.540376139751
"96",5004,"05004 - SAINT JACQUES VAL DE GRACE","272 RUE SAINT JACQUES - 75005 PARIS",48.8418659565261,2.34120202666239,1.54029528987834
"97",5005,"05005 - SAINT JACQUES GAY LUSSAC","27 RUE GAY LUSSAC - 75005 PARIS",48.8447302561321,2.34192394486641,1.54077024556207
"98",5006,"05006 - SAINT JACQUES SOUFFLOT","174 RUE SAINT JACQUES - 75005 PARIS",48.8465169205868,2.34312380336734,1.541559641939
"99",5007,"05007 - ECOLES CARMES","39 RUE DES ECOLES - 75005 PARIS",48.8489190079083,2.34720132952048,1.54424227857459
"100",5008,"05008 - ST GERMAIN-DANTE","9 RUE DE DANTE - 75005 PARIS",48.8509772297936,2.34607682591354,1.54350245877711
"101",5009,"05009 - SQUARE VIVIANI","6 RUE DU FOUARRE - 75005 PARIS",48.8516511793671,2.34746333451965,1.54441465373126
"102",5010,"05010 - SAINT MICHEL HENRI BARBUSSE","1 RUE HENRI BARBUSSE - 75005 PARIS",48.8437569813016,2.33930672198142,1.53904835397117
"103",5012,"05012 - ULM - LHOMOND","20 RUE DE L'ESTRAPADE - 75005 PARIS",48.8451434940088,2.34541268121351,1.54306551273759
"104",5013,"05013 - ULM ERASME","13 RUE ERASME - 75005 PARIS",48.8425479496716,2.3445966499316,1.54252863931719
"105",5014,"05014 - CALVIN","8 RUE JEAN CALVIN - 75005 PARIS",48.8416327086177,2.348552018117,1.54513090726174
"106",5015,"05015 - MOUFFETARD EPEE DE BOIS","12 RUE DE L'EPEE DE BOIS - 75005 PARIS",48.8415076373901,2.34998304702979,1.54607239247701
"107",5016,"05016 - CONTRESCARPE-THOUIN","1 RUE THOUIN - 75005 PARIS",48.845062256378,2.34949778985778,1.54575313795394
"108",5017,"05017 - DESCARTES","17 RUE DESCARTES - 75005 PARIS",48.8466018657812,2.34901473289268,1.54543533096436
"109",5018,"05018 - MUTUALITE","20 RUE MONGE - 75005 PARIS",48.8483857647167,2.35016993902064,1.54619535019272
"110",5019,"05019 - POISSY","8-10 RUE DE POISSY - 75005 PARIS",48.8496904113704,2.35297018360202,1.54803765320207
"111",5020,"05020 - PONT DE SULLY RIVE GAUCHE","03 RUE DES FOSSES SAINT BERNARD - 75005 PARIS",48.8491596891678,2.35614032747538,1.55012331587481
"112",5021,"05021 - JUSSIEU","41 RUE JUSSIEU - 75005 PARIS",48.8471846411502,2.35339837968935,1.5483193667872
"113",5022,"05022 - CARDINAL LEMOINE","40 RUE BOU LANGERS - 75005 PARIS",48.8462950317216,2.35222292160749,1.54754602363855
"114",5023,"05023 - PLACE JUSSIEU","13 RUE JUSSIEU - 75005 PARIS",48.8456168785096,2.35574549999879,1.54986355576203
"115",5024,"05024 - PLACE MONGE","4 RUE DOLOMIEU - 75005 PARIS",48.8427350429896,2.35247243722336,1.54771018193138
"116",5026,"05026 - MOUFFETARD SAINT MEDARD","3 RUE PASCAL - 75005 PARIS",48.8389938245432,2.34993205295774,1.54603884307456
"117",5027,"05027 - GOBELINS","22 AVENUE DES GOBELINS - 75005 PARIS",48.8371260386106,2.35143332976764,1.54702654493572
"118",5028,"05028 - CENSIER BUFFON","6 RUE CENSIER - 75005 PARIS",48.8410800220159,2.35543071424475,1.54965645573018
"119",5029,"05029 - PORT ROYAL","FACE 41 AVENUE GEORGES BERNANOS - 75005 PARIS",48.8401089566606,2.33729688973794,1.53772606947679
"120",5030,"05030 - SORBONNE","5 RUE DE LA SORBONNE - 75005 PARIS",48.8497703706033,2.34357357573301,1.54185555072793
"121",5031,"05031 - LACEPEDE","2 RUE LACEPEDE - 75005 PARIS",48.8436748454376,2.35461598268321,1.54912043740606
"122",5032,"05032 - PANTHEON CARMES","2 RUE VALETTE - 75005 PARIS",48.8469867528133,2.34649965376297,1.54378064055617
"123",5033,"05033 - SAINT SEVERIN","42 RUE SAINT SEVERIN - 75005 PARIS",48.8527056477051,2.34413776324567,1.54222673414503
"124",5034,"05034 - CENSIER","21 RUE CENSIER - 75005 PARIS",48.8405086637125,2.35371355203341,1.54852672115967
"125",5035,"05035 - BUFFON AUSTERLITZ","1 RUE BUFFON - 75005 PARIS",48.8431581782293,2.36374844464159,1.55512875620098
"126",5104,"05104 - BUFFON","47 RUE BUFFON - 75005 PARIS",48.841916179826,2.35891268131767,1.5519472693468
"127",5105,"05105 - GEOFFROY SAINT HILAIRE","8 RUE GEOFFROY SAINT HILAIRE - 75005 PARIS",48.8390782642497,2.35687734066973,1.55060820267181
"128",5106,"05106 - CUJAS","22 RUE CUJAS - 75005 PARIS",48.8481913485843,2.34183165485398,1.54070952723455
"129",5107,"05107 - PONTOISE","1 RUE DE PONTOISE - 75005 PARIS",48.8504580091884,2.35245427549219,1.54769823318511
"130",5110,"05110 - LACEPEDE","27 RUE LACEPEDE - 75005 PARIS",48.8438603532488,2.35190222528039,1.54733503499404
"131",6001,"06001 - INSTITUT","5 QUAI MALAQAIS - 75006 PARIS",48.8576156785647,2.33583135303774,1.53676188131585
"132",6002,"06002 - SAINT PÈRES","1 RUE SAINT BENOIT - 75006 PARIS",48.8554999843907,2.33344522003119,1.53519202557972
"133",6003,"06003 - SAINT SULPICE","15 RUE DU VIEUX COLOMBIER - 75006 PARIS",48.8516478481427,2.33081707438869,1.53346294782045
"134",6004,"06004 - REGARD","19 RUE DU REGARD - 75006 PARIS",48.8475178294419,2.32697330558684,1.53093410199106
"135",6005,"06005 - MONTPARNASSE","40 RUE DU MONTPARNASSE - 75006 PARIS",48.8432954570368,2.32654113412794,1.5306497729776
"136",6006,"06006 - NOTRE DAME DES CHAMPS","41 RUE NOTRE DAME DES CHAMPS - 75006 PARIS",48.8447992885877,2.32933775588718,1.53248969250367
"137",6007,"06007 - VAVIN","18 RUE BREA - 75006 PARIS",48.8427384782578,2.3297942217634,1.53279000500601
"138",6008,"06008 - ASSAS LUXEMBOURG","90 RUE D'ASSAS - 75006 PARIS",48.8437344687794,2.33342838187589,1.53518094762446
"139",6009,"06009 - GUYNEMER LUXEMBOURG","26 RUE GUYNEMER - 75006 PARIS",48.8467209825734,2.33239459292958,1.53450080971812
"140",6010,"06010 - MONTPARNASSE CHEVREUSE","5 RUE DE CHEVREUSE - 75006 PARIS",48.8417391612309,2.33155221673674,1.5339466037729
"141",6012,"06012 - SAINT GERMAIN COPEAU","141 BD SAINT GERMAIN - 75006 PARIS",48.8533052775947,2.3344654618827,1.53586325074547
