"P1";"P2";"time"
0,600445192011067;0,233142042449331;2017-03-08 15:40:00
0,600465591622255;0,233411994388831;2017-03-08 16:00:00
0,603162653444362;0,232140770826178;2017-03-08 16:20:00
0,604534119768771;0,229521970152001;2017-03-08 16:40:00
0,594266612127192;0,221649031197097;2017-03-08 17:00:00
0,594208003771252;0,21466024563059;2017-03-08 17:20:00
0,588270404166832;0,209262931914118;2017-03-08 17:40:00
0,586448672169521;0,205249886809158;2017-03-08 18:00:00
0,58339207156378;0,196454987092046;2017-03-08 18:20:00
0,582894905445134;0,194818550437461;2017-03-08 18:40:00
0,581637786921844;0,193972667829543;2017-03-08 19:00:00
0,593098526045168;0,193290316952211;2017-03-08 19:20:00
0,590284228320593;0,206681897156359;2017-03-08 19:40:00
0,610148422728069;0,204961503202413;2017-03-08 20:00:00
0,62434843821573;0,213455519325968;2017-03-08 20:20:00
0,63204619626006;0,226332809266792;2017-03-08 20:40:00
0,645132563097654;0,227011218952049;2017-03-08 21:00:00
0,643196816216325;0,231758488393494;2017-03-08 21:20:00
0,650716951797278;0,231406886195304;2017-03-08 21:40:00
0,637482379798871;0,233458574019311;2017-03-08 22:00:00
0,64564139169855;0,232931548037304;2017-03-08 22:20:00
0,641777184210653;0,232484095578186;2017-03-08 22:40:00
0,639112248707683;0,241702224955395;2017-03-08 23:00:00
0,638222622438739;0,242085782420302;2017-03-08 23:20:00
0,635319288743932;0,250032657536005;2017-03-08 23:40:00
0,632335866352868;0,257609314650961;2017-03-09 00:00:00
0,627495712786979;0,262853999119112;2017-03-09 00:20:00
0,626511487881406;0,269501831881008;2017-03-09 00:40:00
0,621543106868357;0,272428822270933;2017-03-09 01:00:00
0,617425290731713;0,281686422111964;2017-03-09 01:20:00
0,61472490081311;0,286312867417029;2017-03-09 01:40:00
0,609369314001962;0,289848300699146;2017-03-09 02:00:00
0,604629153788978;0,297731179700269;2017-03-09 02:20:00
0,601837079395608;0,300458966655991;2017-03-09 02:40:00
0,586815102736952;0,305074629983623;2017-03-09 03:00:00
0,583308755661636;0,309352211450931;2017-03-09 03:20:00
0,586262661228117;0,314183862555316;2017-03-09 03:40:00
0,578702642067356;0,326066094717166;2017-03-09 04:00:00
0,577206374981489;0,329611595563729;2017-03-09 04:20:00
0,576079901817355;0,336914412573443;2017-03-09 04:40:00
0,570908888302977;0,335216955399923;2017-03-09 05:00:00
0,574435611543873;0,335020354493029;2017-03-09 05:20:00
0,574078582592057;0,333259838450429;2017-03-09 05:40:00
0,573953362677976;0,334796310978119;2017-03-09 06:00:00
0,579212481121121;0,329529370863077;2017-03-09 06:20:00
0,567840281422768;0,335273849217838;2017-03-09 06:40:00
0,562230237361415;0,323373013413621;2017-03-09 07:00:00
0,552249858050987;0,316253828000381;2017-03-09 07:20:00
0,536617899204321;0,314266071305385;2017-03-09 07:40:00
0,537841149620757;0,299119306017807;2017-03-09 08:00:00
0,522059864660817;0,28215466592019;2017-03-09 08:20:00
0,512255958092496;0,262803773543014;2017-03-09 08:40:00
0,523448143033578;0,260132929436466;2017-03-09 09:00:00
0,541167552701988;0,260514110497639;2017-03-09 09:20:00
0,564295101875472;0,270349537160469;2017-03-09 09:40:00
0,568253579187164;0,270813085394012;2017-03-09 10:00:00
0,578906358455368;0,276035605651039;2017-03-09 10:20:00
0,571176744064184;0,276925595852434;2017-03-09 10:40:00
0,568372002738787;0,273345110635738;2017-03-09 11:00:00
0,579904669856013;0,269659972740976;2017-03-09 11:20:00
0,575744947682968;0,270630998199353;2017-03-09 11:40:00
