"P1";"P2";"P3";"P4";"P5";"P6";"time"
0,800451535700607;0,0958515548072887;0,321263361137527;0,127649601762856;0,763918866748356;0,482196592914121;2017-03-06 21:40:00
0,802353017194106;0,0974149570748285;0,329649153550878;0,135249575368601;0,753365091500814;0,479193810237356;2017-03-06 22:00:00
0,809073216672411;0,0929096415925453;0,331532219699567;0,136463357966994;0,745223861838423;0,479421874594504;2017-03-06 22:20:00
0,810236593736585;0,0970470114619835;0,335040993980392;0,137995268322224;0,744806143209585;0,473397046765385;2017-03-06 22:40:00
0,811668417691103;0,0951985460305727;0,32180996987447;0,14030972690985;0,730356889137388;0,504515425687433;2017-03-06 23:00:00
0,817163811225365;0,0926715723726981;0,321949726389369;0,154441964195201;0,704893112553296;0,495112478455269;2017-03-06 23:20:00
0,816482450639303;0,094346848435891;0,33659812418684;0,161503427009074;0,686726997420557;0,506801204733202;2017-03-06 23:40:00
0,819153292411984;0,0971112565475944;0,32269238061806;0,179017264231534;0,667939761535384;0,518098829466102;2017-03-07 00:00:00
0,813192911318268;0,0970072732767299;0,327976864105122;0,198939953323579;0,647777730959893;0,512077044997839;2017-03-07 00:20:00
0,817773561587152;0,0973751220707749;0,325928610256731;0,213632359011106;0,633990685708432;0,521634587576411;2017-03-07 00:40:00
0,809790101867564;0,0983640231942769;0,323932546475737;0,232097758628969;0,620192557719746;0,525568638408962;2017-03-07 01:00:00
0,812281568773083;0,102342408950787;0,334105157482157;0,242556960138641;0,616732221453675;0,520143737335141;2017-03-07 01:20:00
0,803235885829728;0,103824336822728;0,330884296038942;0,263879817274113;0,608987970665181;0,507448696361798;2017-03-07 01:40:00
0,806950801831432;0,108420082708468;0,339192677101608;0,2676637596661;0,597291085576075;0,520080773750889;2017-03-07 02:00:00
0,800891592483145;0,113344067463184;0,336248847213206;0,280151855594753;0,58752424562303;0,515542172130638;2017-03-07 02:20:00
0,795415543104108;0,118301537909153;0,335825614114115;0,294602253453706;0,576124081450973;0,516414114024062;2017-03-07 02:40:00
0,76976029278755;0,120150758321491;0,332673755012544;0,288281003361357;0,554015929753017;0,503055454485877;2017-03-07 03:00:00
0,757478439723237;0,120894254113305;0,328891522321117;0,305241287809094;0,539238663295875;0,517287823531947;2017-03-07 03:20:00
0,782616985627233;0,12942741226105;0,328155995634523;0,324425573373409;0,541815495653949;0,519071063883306;2017-03-07 03:40:00
0,781588278467264;0,136205745557855;0,340638660179683;0,333626444210156;0,53058261419765;0,509041848008461;2017-03-07 04:00:00
0,781267192434292;0,142855651144709;0,33345146838319;0,347219577881701;0,522288231509812;0,515093560644729;2017-03-07 04:20:00
0,775338769365149;0,147552579989503;0,322234928959552;0,356554250697167;0,515173454055468;0,509727977028923;2017-03-07 04:40:00
