NOM ETABLISSEMENT;ADRESSE;CODE POSTAL;COMMUNE;CODE DEPARTEMENT;REGION;FAUTEUILS;SEANCES;TRANCHE D'ENTREES
LA SALINE;PLACE DU GÉNÉRAL DE GAULLE;67250;SOULTZ-SOUS-FORETS;67;ALSACE;225;16;Moins de 2000 entrées
JACQUES BREL A;PLACE DE L'HOTEL DE VILLE;95140;GARGES-LES-GONESSE;95;ILE-DE-FRANCE;225;883;De 20 à 30 000 entrées
FAMILIA;MAIL ORYE;37140;BOURGUEIL;37;CENTRE;224;316;De 10 à 20 000 entrées
CINE-RELAIS LA PASSERELLE (EX- CENTRE INTEGRE);RUE DES LOISIRS;68170;RIXHEIM;68;ALSACE;224;906;De 10 à 20 000 entrées
LA RIVIERE;BD CHARLES DE GAULLE;56410;ETEL;56;BRETAGNE;223;486;De 10 à 20 000 entrées
CINE 32 GASCOGNE 1;RUE JEAN JAURES;32100;CONDOM;32;MIDI-PYRENEES;222;740;De 10 à 20 000 entrées
LE MONTCELET;134 AVENUE DU MONTCELET;38380;ENTRE-DEUX-GUIERS;38;RHONE-ALPES;222;426;De 5 à 10 000 entrées
CENTRE CULTUREL LEON;PLACE DU DOCTEUR DUFAU;40550;LEON;40;AQUITAINE;222;642;De 10 à 20 000 entrées
ESPACE CULTUREL LES 26 COULEURS;IMPASSE PASTEUR;77310;SAINT-FARGEAU-PONTHIERRY;77;ILE-DE-FRANCE;222;502;De 10 à 20 000 entrées
HENRI GEORGES CLOUZOT;RUE DU CHAMPS DE FOIRE;79260;LA CRECHE;79;POITOU-CHARENTES;222;260;De 5 à 10 000 entrées
EDEN 1;5 RUE DE PONTOISE;95160;MONTMORENCY;95;ILE-DE-FRANCE;222;2 320;De 40 à 50 000 entrées
CINE LUMIERE 1;ROUTE DE SAINT GAUDENS;31350;BOULOGNE-SUR-GESSE;31;MIDI-PYRENEES;221;586;De 2 à 5 000 entrées
ETOILE;RUE DES TOURS CARREES;35220;CHATEAUBOURG;35;BRETAGNE;221;351;De 20 à 30 000 entrées
ESPACE JULES VERNE;RUE JEAN MEUNIER;42660;SAINT-GENEST-MALIFAUX;42;RHONE-ALPES;221;281;De 10 à 20 000 entrées
ST LOUIS;15 RUE DE LA CROIX;61260;LE THEIL;61;BASSE-NORMANDIE;221;394;De 10 à 20 000 entrées
MAJESTIC;24 RUE NATIONALE;71160;DIGOIN;71;BOURGOGNE;221;1 105;De 20 à 30 000 entrées
ESPACE COMOEDIA;10 RUE ORVES;83100;TOULON;83;PROVENCE-ALPES-COTE D'AZUR;221;1;Moins de 2000 entrées
REGAIN 1;3 MONTEE DU CHATEAU;07400;TEIL;07;RHONE-ALPES;220;1 523;De 30 à 40 000 entrées
LA PASSERELLE (EX-SALLE MUNICIPALE);RUE PAUL MASSY;17132;MESCHERS-SUR-GIRONDE;17;POITOU-CHARENTES;220;63;De 2 à 5 000 entrées
LE QUAI DU DUPLEIX (EX CHAPEAU ROUGE);1 RUE DE PARADIS;29000;QUIMPER;29;BRETAGNE;220;2 756;De 50 à 75 000 entrées
GRAND ECRAN;PLACE DES ARENES;40465;PONTONX-SUR-L ADOUR;40;AQUITAINE;220;506;De 10 à 20 000 entrées
SALLE J D ARC;17 BD DE LA FERRONNAYS;44540;SAINT-MARS-LA-JAILLE;44;PAYS-DE-LA-LOIRE;220;371;De 5 à 10 000 entrées
PITHI CINE (EX-LE MAIL);26 MAIL OUEST;45300;PITHIVIERS;45;CENTRE;220;1 201;De 30 à 40 000 entrées
CLUB;ROUTE TANINGES;74260;LES GETS;74;RHONE-ALPES;220;318;De 10 à 20 000 entrées
TRIANON;1 RUE DE L ABREUVOIR;80290;POIX-DE-PICARDIE;80;PICARDIE;220;12;Moins de 2000 entrées
LEVENDOR CINE;PLACE DES JOYEUSES VACANCES;83980;LE LAVANDOU;83;PROVENCE-ALPES-COTE D'AZUR;220;3;Moins de 2000 entrées
LA RENAISSANCE;PLACE DES LICES;83990;SAINT-TROPEZ;83;PROVENCE-ALPES-COTE D'AZUR;220;353;De 5 à 10 000 entrées
LE CASINO;13 RUE GUILLAUME BUDE;94350;VILLIERS-SUR-MARNE;94;ILE-DE-FRANCE;220;1 014;De 20 à 30 000 entrées
REX;202 BIS BD DE LA REPUBLIQUE;33510;ANDERNOS-LES-BAINS;33;AQUITAINE;219;1 116;De 50 à 75 000 entrées
MOLIERE;1 PLACE LEDRU ROLLIN;34120;PEZENAS;34;LANGUEDOC-ROUSSILLON;219;404;De 5 à 10 000 entrées
PALETTE;37 RUE DE LA REPUBLIQUE;71700;TOURNUS;71;BOURGOGNE;219;902;De 20 à 30 000 entrées
LE CINEMATOGRAPHE;PLACE DE LA MAIRIE;04220;SAINTE TULLE;04;PROVENCE-ALPES-COTE D'AZUR;218;435;De 2 à 5 000 entrées
CINE CASINO 1;AV CLAUDE EXPILLY;07600;VALS LES BAINS;07;RHONE-ALPES;218;633;De 5 à 10 000 entrées
SALLE JEANNE D'ARC;15 RUE DE LA MER;44760;LA BERNERIE-EN-RETZ;44;PAYS-DE-LA-LOIRE;218;225;De 10 à 20 000 entrées
VOX;30 RUE VICTOR FOURCAULT;53800;RENAZE;53;PAYS-DE-LA-LOIRE;218;281;De 10 à 20 000 entrées
CINE VILAR;RUE ST EPVRE;54700;BLENOD-LES-PONT-A-MOUSSON;54;LORRAINE;218;234;De 2 à 5 000 entrées
